Sex,Age,Height,Weight,Team,Sport,Event,Medal
1,19.0,184.0,77.0,24,14,210,1
1,38.0,190.0,97.0,392,36,360,1
0,23.0,167.0,60.0,24,44,482,1
1,27.0,194.0,91.0,188,23,296,0
1,23.0,186.0,82.0,376,33,337,1
1,24.0,168.0,72.0,99,11,146,0
0,25.0,168.0,56.0,156,24,299,1
0,47.0,168.0,68.0,162,16,242,0
1,23.0,182.0,70.0,371,12,176,0
0,32.0,185.0,75.0,432,48,510,1
1,21.0,170.0,65.0,371,14,205,0
1,34.0,186.0,74.0,395,17,249,0
0,21.0,160.0,54.0,65,38,411,0
1,27.0,165.0,67.0,224,54,528,0
0,30.0,163.0,60.0,420,11,166,1
0,30.0,177.0,55.0,73,3,75,0
0,22.0,170.0,62.0,27,0,8,1
1,24.0,170.0,68.0,429,3,67,1
1,30.0,169.0,60.0,229,3,64,0
1,20.0,187.0,93.0,105,25,300,1
1,23.0,184.0,76.0,200,17,249,1
0,21.0,174.0,67.0,380,53,520,1
0,23.0,176.0,65.0,278,3,96,1
1,22.0,168.0,53.0,213,3,45,1
1,24.0,175.0,78.0,371,37,381,1
1,27.0,160.0,54.0,205,22,287,1
1,27.0,186.0,88.0,105,25,300,1
1,20.0,180.0,59.0,143,22,284,0
0,35.0,170.0,60.0,429,3,88,0
1,20.0,172.0,73.0,27,55,563,0
1,25.0,176.0,76.0,278,14,195,0
1,22.0,200.0,95.0,429,44,461,1
0,25.0,174.0,76.0,65,4,106,0
1,20.0,169.0,68.0,423,22,284,1
1,26.0,193.0,96.0,429,6,108,1
1,25.0,165.0,66.0,44,26,304,0
1,25.0,198.0,93.0,166,23,296,0
1,26.0,191.0,87.0,14,52,517,1
0,25.0,195.0,75.0,429,6,109,1
0,27.0,168.0,64.0,162,24,299,1
1,24.0,170.0,55.0,310,40,416,1
1,25.0,187.0,83.0,376,29,323,1
1,22.0,165.0,57.0,99,15,227,0
1,19.0,173.0,72.0,212,11,146,0
1,28.0,180.0,76.0,271,3,31,0
0,22.0,152.0,52.0,224,17,250,0
1,40.0,183.0,82.0,224,37,386,0
0,41.0,175.0,50.0,429,16,241,0
0,18.0,180.0,63.0,99,52,518,1
1,24.0,197.0,99.0,380,23,296,0
1,20.0,174.0,61.0,395,18,256,1
0,21.0,170.0,64.0,429,44,482,1
0,22.0,174.0,67.0,122,52,518,0
0,19.0,176.0,66.0,380,53,520,1
0,24.0,175.0,67.0,212,47,505,0
0,22.0,163.0,63.0,281,3,84,1
1,23.0,178.0,77.0,190,44,451,0
1,23.0,172.0,70.0,65,19,261,1
1,30.0,181.0,71.0,205,33,340,0
1,21.0,170.0,64.0,327,22,278,0
1,23.0,180.0,78.0,143,14,208,0
1,23.0,175.0,68.0,340,3,20,0
1,20.0,191.0,84.0,156,3,68,0
0,17.0,150.0,37.0,83,22,292,0
0,18.0,162.0,45.0,327,22,292,1
0,17.0,160.0,54.0,24,44,475,0
0,31.0,163.0,56.0,24,24,299,1
1,26.0,176.0,76.0,24,3,40,0
1,26.0,166.0,58.0,205,22,287,1
0,24.0,173.0,62.0,200,12,187,1
1,21.0,167.0,75.0,224,54,531,1
1,28.0,189.0,80.0,141,43,436,0
0,15.0,163.0,53.0,91,44,481,0
1,40.0,175.0,93.0,432,9,125,0
0,15.0,160.0,46.0,327,22,293,1
0,17.0,175.0,136.0,429,54,541,1
1,28.0,169.0,64.0,376,22,278,0
1,19.0,180.0,71.0,271,14,196,0
0,26.0,180.0,69.0,24,6,109,1
1,23.0,180.0,75.0,27,8,115,0
1,20.0,158.0,53.0,83,22,275,1
1,20.0,180.0,81.0,392,25,300,1
0,18.0,162.0,50.0,83,15,230,1
1,20.0,173.0,72.0,83,43,433,0
1,25.0,185.0,67.0,156,40,417,1
1,25.0,171.0,65.0,105,22,285,0
1,29.0,193.0,89.0,429,33,339,1
0,17.0,163.0,48.0,200,44,486,1
1,19.0,179.0,72.0,203,3,41,0
0,24.0,165.0,65.0,200,37,401,1
1,32.0,175.0,64.0,254,3,30,1
0,22.0,168.0,58.0,203,3,81,1
1,27.0,190.0,85.0,143,33,339,1
1,19.0,183.0,77.0,200,44,466,0
1,24.0,175.0,70.0,392,43,436,1
0,21.0,175.0,68.0,254,37,403,0
1,20.0,192.0,92.0,143,33,333,0
1,22.0,179.0,72.0,446,25,300,0
0,22.0,167.0,58.0,429,3,89,1
0,18.0,156.0,58.0,310,22,290,0
0,24.0,178.0,70.0,429,43,440,0
1,28.0,191.0,90.0,56,52,517,1
1,22.0,194.0,96.0,457,19,261,1
1,27.0,213.0,73.0,203,36,359,0
1,23.0,180.0,81.0,180,19,261,0
1,23.0,169.0,51.0,370,3,45,0
0,19.0,164.0,56.0,429,22,291,0
1,24.0,176.0,81.0,56,26,307,1
0,20.0,170.0,69.0,27,0,6,1
0,19.0,165.0,56.0,395,12,188,0
1,26.0,188.0,92.0,376,3,60,1
0,27.0,160.0,54.0,143,22,293,0
1,30.0,177.0,65.0,336,12,177,1
1,28.0,194.0,125.0,376,55,560,1
1,27.0,200.0,95.0,310,33,333,0
1,24.0,179.0,75.0,380,24,298,0
1,28.0,170.0,71.0,293,24,298,1
1,29.0,196.0,86.0,271,24,298,1
0,15.0,150.0,40.0,429,15,229,0
1,25.0,167.0,60.0,135,3,64,1
0,25.0,154.0,48.0,156,18,259,0
1,32.0,180.0,80.0,185,11,144,1
1,28.0,176.0,66.0,143,11,152,1
1,31.0,190.0,100.0,336,23,296,1
0,28.0,178.0,75.0,327,33,344,1
1,24.0,193.0,95.0,376,6,108,1
1,30.0,160.0,60.0,243,4,102,0
1,26.0,195.0,89.0,429,33,337,1
0,19.0,160.0,52.0,376,22,291,1
1,18.0,183.0,85.0,83,44,457,0
1,22.0,170.0,65.0,200,14,210,1
0,35.0,172.0,68.0,392,11,166,1
0,21.0,163.0,58.0,205,43,440,0
1,22.0,188.0,104.0,122,28,318,1
1,12.0,170.0,48.0,27,33,336,0
1,25.0,172.0,70.0,73,22,278,0
1,20.0,180.0,84.0,416,44,455,0
1,22.0,181.0,80.0,156,43,434,0
0,16.0,170.0,57.0,122,44,482,1
0,19.0,177.0,67.0,457,23,297,1
1,32.0,185.0,76.0,371,1,10,1
1,22.0,185.0,77.0,162,3,63,1
0,22.0,146.0,47.0,185,22,290,0
1,21.0,175.0,56.0,213,3,50,1
1,29.0,183.0,81.0,365,3,67,0
1,21.0,178.0,73.0,429,12,177,0
0,37.0,165.0,50.0,205,16,238,0
0,23.0,169.0,63.0,83,1,13,1
1,22.0,180.0,85.0,185,17,249,1
0,32.0,172.0,59.0,429,23,297,0
1,26.0,178.0,64.0,217,3,50,0
0,37.0,168.0,64.0,429,19,262,1
0,27.0,158.0,46.0,91,3,97,0
0,21.0,168.0,60.0,429,44,484,1
1,21.0,184.0,75.0,111,19,261,0
1,26.0,184.0,80.0,27,37,379,1
0,23.0,168.0,57.0,102,8,124,0
